Campaign,Campaign Type,Campaign Status,Budget,Bid Strategy Type,Networks,Anúncios políticos da UE,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Ad type,Final URL,Path 1,Path 2,Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,Search,Paused,"13,00",Maximize clicks,Google search,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,Enabled,"1,50",,,,,,,,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de sofás porto,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de sofá porto,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,higienização de sofás porto,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,lavagem de sofás porto,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpar sofá porto,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de estofos porto,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de sofás ao domicílio,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,empresa de limpeza de sofás,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,preço limpeza sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,quanto custa limpar um sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de sofás preço,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,higienização de estofos,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de sofás,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,higienização de sofás,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,higienização sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
